SYMBOL,TIME,PRICE
BTCBUSD,2021_02_27__21_39_39,47170
BTCBUSD,2021_02_27__21_39_40,47170
BTCBUSD,2021_02_27__21_39_41,47170
BTCBUSD,2021_02_27__21_39_42,47170
BTCBUSD,2021_02_27__21_39_43,47170
BTCBUSD,2021_02_27__21_39_44,47170
BTCBUSD,2021_02_27__21_39_45,47161
BTCBUSD,2021_02_27__21_39_46,47161
BTCBUSD,2021_02_27__21_39_47,47161
BTCBUSD,2021_02_27__21_39_48,47161
BTCBUSD,2021_02_27__21_39_49,47161
BTCBUSD,2021_02_27__21_39_50,47140
BTCBUSD,2021_02_27__21_39_51,47140
BTCBUSD,2021_02_27__21_39_52,47140
BTCBUSD,2021_02_27__21_39_53,47140
BTCBUSD,2021_02_27__21_39_54,47140
BTCBUSD,2021_02_27__21_39_55,47140
BTCBUSD,2021_02_27__21_39_56,47140
BTCBUSD,2021_02_27__21_39_57,47142
BTCBUSD,2021_02_27__21_39_58,47142
BTCBUSD,2021_02_27__21_39_59,47142
BTCBUSD,2021_02_27__21_40_00,47142
BTCBUSD,2021_02_27__21_40_01,47142
BTCBUSD,2021_02_27__21_40_02,47142
BTCBUSD,2021_02_27__21_40_03,47145
BTCBUSD,2021_02_27__21_40_04,47148
BTCBUSD,2021_02_27__21_40_05,47148
BTCBUSD,2021_02_27__21_40_06,47154
BTCBUSD,2021_02_27__21_40_07,47154
BTCBUSD,2021_02_27__21_40_08,47154
BTCBUSD,2021_02_27__21_40_09,47154
BTCBUSD,2021_02_27__21_40_10,47155
BTCBUSD,2021_02_27__21_40_11,47161
BTCBUSD,2021_02_27__21_40_12,47153
BTCBUSD,2021_02_27__21_40_13,47144
BTCBUSD,2021_02_27__21_40_14,47136
BTCBUSD,2021_02_27__21_40_15,47136
BTCBUSD,2021_02_27__21_40_16,47131
BTCBUSD,2021_02_27__21_40_17,47131
BTCBUSD,2021_02_27__21_40_18,47127
BTCBUSD,2021_02_27__21_40_19,47127
BTCBUSD,2021_02_27__21_40_20,47127
BTCBUSD,2021_02_27__21_40_21,47120
BTCBUSD,2021_02_27__21_40_22,47120
BTCBUSD,2021_02_27__21_40_23,47120
BTCBUSD,2021_02_27__21_40_24,47118
