TIME,BTCBUSD,ETHBUSD,ADABUSD,IOTABUSD,LTCBUSD,ZECBUSD
2021-02-28 00:16:39,45513.17000000,1451.87000000,169.41000000,1.28377000,119.78000000,1.14310000
2021-02-28 00:16:40,45506.45000000,1451.84000000,169.41000000,1.28305000,119.78000000,1.14310000
2021-02-28 00:16:41,45506.45000000,1451.77000000,169.41000000,1.28304000,119.78000000,1.14310000
2021-02-28 00:16:42,45529.22000000,1452.55000000,169.57000000,1.28304000,119.78000000,1.14310000
2021-02-28 00:16:43,45554.31000000,1453.67000000,169.57000000,1.28574000,119.78000000,1.14310000
2021-02-28 00:16:44,45558.37000000,1453.27000000,169.57000000,1.28326000,119.78000000,1.14310000
2021-02-28 00:16:45,45553.52000000,1453.25000000,169.64000000,1.28326000,119.78000000,1.14310000
2021-02-28 00:16:46,45552.29000000,1452.96000000,169.64000000,1.28398000,119.78000000,1.14310000
2021-02-28 00:16:47,45548.21000000,1452.72000000,169.64000000,1.28352000,119.78000000,1.14310000
2021-02-28 00:16:48,45548.21000000,1452.85000000,169.64000000,1.28352000,119.78000000,1.14310000
